[I 2023-11-10 03:08:58,952] A new study created in memory with name: no-name-7fcc14aa-9232-45c3-a6be-ae5a363d33ca
[I 2023-11-10 04:39:15,396] Trial 15 finished with value: 201579.35338026393 and parameters: {'N': 9, 'n_neurons_1': 233, 'n_neurons_2': 112, 'n_neurons_3': 92, 'n_neurons_4': 73, 'kernel_regularizer': 0.060650021291700926, 'learning_rate': 0.005198342939247046, 'min_delta': 0.0034102578564405572, 'patience': 4, 'batch_size': 64}. Best is trial 11 with value: 22661.603762054783.
[I 2023-11-10 04:42:47,331] Trial 16 finished with value: 20697.670790523138 and parameters: {'N': 7, 'n_neurons_1': 175, 'n_neurons_2': 146, 'n_neurons_3': 110, 'n_neurons_4': 100, 'kernel_regularizer': 0.030875454506724496, 'learning_rate': 0.006108120366447003, 'min_delta': 0.8746741689564435, 'patience': 7, 'batch_size': 64}. Best is trial 16 with value: 20697.670790523138.
[I 2023-11-10 04:45:47,753] Trial 17 finished with value: 33800.819674073595 and parameters: {'N': 6, 'n_neurons_1': 233, 'n_neurons_2': 147, 'n_neurons_3': 148, 'n_neurons_4': 99, 'kernel_regularizer': 0.03090102466049928, 'learning_rate': 0.004473766120952481, 'min_delta': 0.8460233710391185, 'patience': 5, 'batch_size': 64}. Best is trial 16 with value: 20697.670790523138.
[I 2023-11-10 04:49:57,679] Trial 18 finished with value: 38755.12954222643 and parameters: {'N': 7, 'n_neurons_1': 151, 'n_neurons_2': 150, 'n_neurons_3': 114, 'n_neurons_4': 96, 'kernel_regularizer': 0.02974834451916198, 'learning_rate': 0.005935885777677754, 'min_delta': 1.2140255835437292, 'patience': 8, 'batch_size': 64}. Best is trial 16 with value: 20697.670790523138.
[I 2023-11-10 04:54:40,092] Trial 19 finished with value: 409715.85404716176 and parameters: {'N': 5, 'n_neurons_1': 186, 'n_neurons_2': 163, 'n_neurons_3': 136, 'n_neurons_4': 51, 'kernel_regularizer': 0.039182955766691195, 'learning_rate': 0.0036272526500249094, 'min_delta': 0.7417899196854587, 'patience': 15, 'batch_size': 64}. Best is trial 16 with value: 20697.670790523138.
[I 2023-11-10 05:08:04,008] Trial 20 finished with value: 42683.54662147788 and parameters: {'N': 7, 'n_neurons_1': 259, 'n_neurons_2': 141, 'n_neurons_3': 120, 'n_neurons_4': 88, 'kernel_regularizer': 0.028683632182019348, 'learning_rate': 0.005372709788697733, 'min_delta': 0.5691977504272324, 'patience': 6, 'batch_size': 16}. Best is trial 16 with value: 20697.670790523138.
[I 2023-11-10 05:10:36,735] Trial 21 finished with value: 26132.631366209363 and parameters: {'N': 6, 'n_neurons_1': 224, 'n_neurons_2': 150, 'n_neurons_3': 149, 'n_neurons_4': 100, 'kernel_regularizer': 0.031852753493538916, 'learning_rate': 0.004484648124793156, 'min_delta': 1.0474909755229336, 'patience': 5, 'batch_size': 64}. Best is trial 16 with value: 20697.670790523138.
[I 2023-11-10 05:12:38,776] Trial 22 finished with value: 54351.47890945229 and parameters: {'N': 6, 'n_neurons_1': 219, 'n_neurons_2': 163, 'n_neurons_3': 134, 'n_neurons_4': 97, 'kernel_regularizer': 0.037731978967636706, 'learning_rate': 0.006903213283003884, 'min_delta': 1.2664524565992235, 'patience': 3, 'batch_size': 64}. Best is trial 16 with value: 20697.670790523138.
[I 2023-11-10 05:17:16,738] Trial 23 finished with value: 46483.52591562819 and parameters: {'N': 7, 'n_neurons_1': 262, 'n_neurons_2': 185, 'n_neurons_3': 149, 'n_neurons_4': 100, 'kernel_regularizer': 0.026796173139859027, 'learning_rate': 0.005405693024028019, 'min_delta': 0.5745491847964179, 'patience': 5, 'batch_size': 64}. Best is trial 16 with value: 20697.670790523138.
[I 2023-11-10 05:19:39,606] Trial 24 finished with value: 152159.6579691787 and parameters: {'N': 5, 'n_neurons_1': 167, 'n_neurons_2': 142, 'n_neurons_3': 112, 'n_neurons_4': 90, 'kernel_regularizer': 0.03639444804212874, 'learning_rate': 0.004496147647558363, 'min_delta': 1.0986067740016228, 'patience': 7, 'batch_size': 64}. Best is trial 16 with value: 20697.670790523138.
