iter	Passed	Remaining
414	3273	4614
415	3281	4606
416	3289	4599
417	3297	4591
418	3305	4583
419	3313	4576
420	3321	4568
421	3329	4560
422	3338	4553
423	3345	4544
424	3353	4536
425	3360	4527
426	3367	4519
427	3374	4509
428	3380	4499
429	3387	4490
430	3395	4482
431	3403	4475
432	3411	4466
433	3418	4458
434	3425	4449
435	3432	4440
436	3440	4432
437	3448	4424
438	3454	4414
439	3460	4403
440	3468	4396
441	3474	4386
442	3482	4378
443	3489	4369
444	3496	4360
445	3504	4353
446	3511	4344
447	3519	4336
448	3525	4326
449	3532	4317
450	3540	4309
451	3546	4300
452	3554	4292
453	3561	4282
454	3567	4273
455	3575	4264
456	3581	4255
457	3590	4248
458	3597	4240
459	3604	4231
460	3611	4222
461	3618	4213
462	3625	4204
463	3631	4195
464	3638	4185
465	3658	4192
466	3665	4183
467	3672	4174
468	3679	4165
469	3685	4156
470	3693	4148
471	3700	4139
472	3709	4133
473	3715	4123
474	3721	4113
475	3728	4104
476	3735	4095
477	3741	4086
478	3749	4078
479	3757	4070
480	3765	4062
481	3774	4056
482	3782	4049
483	3791	4042
484	3798	4033
485	3806	4026
486	3813	4017
487	3821	4009
488	3829	4001
489	3835	3992
490	3844	3985
491	3851	3976
492	3857	3966
493	3863	3957
494	3870	3949
495	3877	3940
496	3884	3931
497	3892	3923
498	3898	3914
499	3905	3905
500	3911	3895
501	3918	3887
502	3924	3877
503	3931	3868
504	3938	3860
505	3944	3851
506	3951	3842
507	3958	3834
508	3965	3825
509	3971	3816
510	3978	3807
511	3984	3798
512	3992	3789
513	4000	3782
514	4006	3773
515	4013	3764
516	4020	3755
517	4025	3745
518	4032	3737
519	4039	3728
520	4046	3720
521	4066	3723
522	4074	3715
523	4081	3707
524	4089	3699
525	4099	3693
526	4105	3684
527	4114	3678
528	4121	3669
529	4129	3661
530	4136	3653
531	4144	3645
532	4151	3637
533	4159	3630
534	4167	3622
535	4175	3614
536	4182	3606
537	4189	3597
538	4196	3589
539	4204	3581
540	4210	3572
541	4217	3564
542	4224	3555
543	4231	3546
544	4237	3537
545	4244	3529
546	4251	3521
547	4258	3512
548	4264	3503
549	4271	3495
550	4278	3486
551	4285	3477
552	4293	3470
553	4300	3462
554	4308	3454
555	4315	3445
556	4321	3437
557	4329	3429
558	4336	3421
559	4344	3413
560	4351	3405
561	4358	3396
562	4365	3388
563	4372	3379
564	4378	3371
565	4385	3362
566	4393	3355
567	4402	3348
568	4412	3342
569	4420	3335
570	4427	3326
571	4435	3318
572	4444	3312
573	4451	3303
574	4458	3295
575	4465	3287
576	4475	3280
577	4481	3271
578	4489	3264
579	4497	3256
580	4506	3249
581	4513	3241
582	4521	3234
583	4529	3226
584	4538	3219
585	4547	3212
586	4555	3205
587	4563	3197
588	4572	3190
589	4580	3182
590	4588	3175
591	4595	3167
592	4603	3159
593	4610	3151
594	4618	3143
595	4625	3135
596	4633	3128
597	4645	3123
598	4654	3116
599	4661	3107
600	4669	3100
601	4678	3092
602	4687	3085
603	4694	3078
604	4702	3070
605	4710	3062
606	4718	3054
607	4724	3046
608	4731	3037
609	4738	3029
610	4745	3021
611	4754	3014
612	4761	3005
613	4769	2998
614	4776	2990
615	4783	2982
616	4791	2974
617	4797	2965
618	4806	2958
619	4813	2950
620	4820	2941
621	4827	2933
622	4835	2926
623	4842	2918
624	4851	2910
625	4858	2902
626	4866	2894
627	4873	2887
628	4882	2879
629	4890	2872
630	4898	2864
631	4906	2857
632	4913	2848
633	4921	2840
634	4927	2832
635	4934	2824
636	4941	2815
637	4948	2807
638	4955	2799
639	4962	2791
640	4972	2784
641	4980	2777
642	4986	2768
643	4994	2760
644	5002	2753
645	5010	2745
646	5016	2736
647	5024	2729
648	5030	2720
649	5037	2712
650	5044	2704
651	5051	2696
652	5058	2688
653	5064	2679
654	5071	2671
655	5077	2662
656	5085	2654
657	5091	2646
658	5098	2638
659	5106	2630
660	5113	2622
661	5120	2614
662	5127	2606
663	5133	2597
664	5141	2589
665	5148	2581
666	5156	2574
667	5163	2566
668	5171	2558
669	5177	2550
670	5185	2542
671	5193	2534
672	5202	2528
673	5209	2519
674	5218	2512
675	5224	2504
676	5233	2496
677	5239	2488
678	5247	2480
679	5254	2472
680	5263	2465
681	5270	2457
682	5278	2449
683	5286	2442
684	5293	2434
685	5302	2427
686	5310	2419
687	5318	2412
688	5326	2404
689	5335	2396
690	5342	2389
691	5351	2381
692	5358	2373
693	5366	2366
694	5373	2358
695	5381	2350
696	5388	2342
697	5397	2335
698	5404	2327
699	5412	2319
700	5420	2311
701	5428	2304
702	5434	2296
703	5441	2287
704	5450	2280
705	5457	2272
706	5463	2264
707	5470	2256
708	5477	2248
709	5484	2240
710	5491	2232
711	5500	2224
712	5507	2216
713	5513	2208
714	5522	2201
715	5530	2193
716	5537	2185
717	5545	2177
718	5552	2170
719	5559	2162
720	5567	2154
721	5574	2146
722	5581	2138
723	5590	2130
724	5599	2123
725	5606	2115
726	5614	2108
727	5622	2100
728	5631	2093
729	5638	2085
730	5645	2077
731	5652	2069
732	5659	2061
733	5666	2053
734	5672	2045
735	5680	2037
736	5687	2029
737	5695	2021
738	5703	2014
739	5712	2007
740	5719	1999
741	5728	1991
742	5735	1983
743	5743	1976
744	5750	1968
745	5758	1960
746	5765	1952
747	5774	1945
748	5781	1937
749	5789	1929
750	5797	1922
751	5805	1914
752	5815	1907
753	5824	1900
754	5832	1892
755	5839	1884
756	5847	1876
757	5854	1869
758	5862	1861
759	5869	1853
760	5876	1845
761	5882	1837
762	5891	1830
763	5898	1822
764	5906	1814
765	5913	1806
766	5920	1798
767	5928	1790
768	5936	1783
769	5942	1775
770	5948	1766
771	5955	1758
772	5963	1751
773	5970	1743
774	5978	1735
775	5986	1727
776	5992	1719
777	6001	1712
778	6010	1705
779	6016	1696
780	6024	1689
781	6030	1681
782	6037	1673
783	6045	1665
784	6054	1658
785	6064	1651
786	6074	1643
787	6083	1636
788	6093	1629
789	6099	1621
790	6109	1614
791	6116	1606
792	6124	1598
793	6132	1590
794	6140	1583
795	6146	1575
796	6156	1568
797	6163	1560
798	6170	1552
799	6178	1544
800	6187	1537
801	6194	1529
802	6201	1521
803	6209	1513
804	6216	1505
805	6224	1498
806	6233	1490
807	6241	1483
808	6248	1475
809	6258	1467
810	6265	1460
811	6273	1452
812	6280	1444
813	6289	1437
814	6297	1429
815	6307	1422
816	6314	1414
817	6323	1406
818	6330	1399
819	6337	1391
820	6344	1383
821	6351	1375
822	6358	1367
823	6365	1359
824	6372	1351
825	6378	1343
826	6384	1335
827	6391	1327
828	6398	1319
829	6405	1312
830	6411	1303
831	6418	1296
832	6424	1288
833	6431	1280
834	6437	1272
835	6444	1264
836	6451	1256
837	6458	1248
838	6464	1240
839	6471	1232
840	6478	1224
841	6484	1216
842	6492	1209
843	6498	1201
844	6505	1193
845	6512	1185
846	6518	1177
847	6525	1169
848	6531	1161
849	6539	1154
850	6546	1146
851	6554	1138
852	6561	1130
853	6570	1123
854	6577	1115
855	6587	1108
856	6594	1100
857	6603	1092
858	6611	1085
859	6620	1077
860	6627	1069
861	6635	1062
862	6643	1054
863	6652	1047
864	6659	1039
865	6670	1032
866	6676	1024
867	6686	1016
868	6695	1009
869	6703	1001
870	6709	993
871	6719	986
872	6727	978
873	6735	971
874	6742	963
875	6750	955
876	6757	947
877	6764	939
878	6770	932
879	6778	924
880	6785	916
881	6793	908
882	6800	901
883	6806	893
884	6814	885
885	6821	877
886	6827	869
887	6834	862
888	6842	854
889	6848	846
890	6855	838
891	6862	830
892	6869	823
893	6876	815
894	6882	807
895	6888	799
896	6896	791
897	6904	784
898	6910	776
899	6917	768
900	6923	760
901	6931	753
902	6939	745
903	6946	737
904	6953	729
905	6961	722
906	6969	714
907	6975	706
908	6983	699
909	6990	691
910	6997	683
911	7005	675
912	7012	668
913	7019	660
914	7026	652
915	7033	644
916	7040	637
917	7047	629
918	7054	621
919	7062	614
920	7070	606
921	7077	598
922	7084	590
923	7090	583
924	7097	575
925	7105	567
926	7114	560
927	7121	552
928	7130	544
929	7138	537
930	7146	529
931	7153	521
932	7161	514
933	7168	506
934	7176	498
935	7185	491
936	7193	483
937	7215	476
938	7243	470
939	7250	462
940	7258	455
941	7265	447
942	7272	439
943	7279	431
944	7287	424
945	7294	416
946	7300	408
947	7308	400
948	7315	393
949	7323	385
950	7330	377
951	7337	369
952	7345	362
953	7352	354
954	7359	346
955	7365	339
956	7371	331
957	7378	323
958	7385	315
959	7392	308
960	7400	300
961	7406	292
962	7414	284
963	7421	277
964	7429	269
965	7435	261
966	7442	253
967	7450	246
968	7458	238
969	7465	230
970	7473	223
971	7480	215
972	7487	207
973	7494	200
974	7500	192
975	7507	184
976	7514	176
977	7521	169
978	7528	161
979	7535	153
980	7542	146
981	7548	138
982	7555	130
983	7561	122
984	7568	115
985	7576	107
986	7583	99
987	7590	92
988	7597	84
989	7604	76
990	7611	69
991	7638	61
992	7650	53
993	7658	46
994	7666	38
995	7672	30
996	7680	23
997	7686	15
998	7694	7
999	7701	0
