iter	RMSE
0	161.0109895
1	150.114597
2	140.4329444
3	131.6284517
4	123.625853
5	116.40723
6	109.9149397
7	104.0540269
8	98.74210892
9	94.01619079
10	89.78038948
11	86.03691644
12	82.67099877
13	79.6519927
14	77.07208816
15	74.63627558
16	72.53474603
17	70.69228647
18	69.08077527
19	67.64750327
20	66.32755992
21	65.16553902
22	64.14989571
23	63.24047338
24	62.43240848
25	61.69972092
26	61.04799134
27	60.46231562
28	59.93098646
29	59.46688369
30	59.00516921
31	58.64302989
32	58.2985461
33	57.95911908
34	57.67712576
35	57.43314536
36	57.19072566
37	56.96485284
38	56.74718154
39	56.57639521
40	56.39229225
41	56.21993615
42	55.98760276
43	55.82582796
44	55.71569322
45	55.59221938
46	55.47419245
47	55.35145321
48	55.24719326
49	55.10687347
50	54.9505614
51	54.87960402
52	54.75921401
53	54.64882299
54	54.56346399
55	54.49320038
56	54.38490383
57	54.31441674
58	54.25247771
59	54.16103357
60	54.06858866
61	53.9503645
62	53.88015364
63	53.82493548
64	53.75728839
65	53.66917625
66	53.60561749
67	53.528791
68	53.4695574
69	53.39518963
70	53.34483967
71	53.28935289
72	53.18804067
73	53.12588819
74	53.04541369
75	52.92417245
76	52.86582501
77	52.78848935
78	52.67347837
79	52.62693649
80	52.60288614
81	52.52987052
82	52.45511861
83	52.35625586
84	52.30592356
85	52.2491057
86	52.20906562
87	52.13929828
88	52.1063893
89	52.0236526
90	51.96453694
91	51.90954393
92	51.81527612
93	51.77641136
94	51.68370174
95	51.62760368
96	51.55098275
97	51.47668722
98	51.43957661
99	51.36137082
100	51.28244199
101	51.23454002
102	51.15672979
103	51.1105908
104	51.04877261
105	51.00088038
106	50.952003
107	50.92403088
108	50.86718265
109	50.78404724
110	50.69955794
111	50.63413081
112	50.59230372
113	50.49924021
114	50.45691154
115	50.36717887
116	50.316684
117	50.2577849
118	50.20794437
119	50.14975105
120	50.07180344
121	49.99296592
122	49.95591893
123	49.87486298
124	49.80063133
125	49.75940019
126	49.68733244
127	49.63536225
128	49.5671797
129	49.48099577
130	49.42669838
131	49.37079515
132	49.33068187
133	49.29010171
134	49.26470262
135	49.21743158
136	49.14382441
137	49.11948729
138	49.06528156
139	49.02787564
140	48.97624119
141	48.9417864
142	48.88519413
143	48.79270465
144	48.74439409
145	48.7004253
146	48.64938199
147	48.59288134
148	48.53477607
149	48.4302912
150	48.35025146
151	48.30636269
152	48.25611295
153	48.23534956
154	48.20632565
155	48.17835823
156	48.15245947
157	48.12205042
158	48.01836225
159	47.97666267
160	47.94907796
161	47.91878918
162	47.85366538
163	47.78508299
164	47.74177837
165	47.67351625
166	47.63469307
167	47.58269241
168	47.51881058
169	47.47701807
170	47.41589261
171	47.36343989
172	47.31219142
173	47.2573612
174	47.19034423
175	47.15298632
176	47.10815814
177	47.05887337
178	47.00341966
179	46.96517877
180	46.93472818
181	46.8943836
182	46.85395127
183	46.81708998
184	46.78166878
185	46.75513841
186	46.72226548
187	46.69016209
188	46.61151916
189	46.53688779
190	46.5026616
191	46.43581248
192	46.40655784
193	46.3724404
194	46.34002492
195	46.27093276
196	46.21855624
197	46.16744354
198	46.13612185
199	46.10773906
200	46.01187184
201	45.95603941
202	45.89123104
203	45.86024668
204	45.8384707
205	45.78875109
206	45.76526431
207	45.72372525
208	45.67155948
209	45.65376021
210	45.62586925
211	45.5753267
212	45.52536327
213	45.48362602
214	45.42810561
215	45.39719482
216	45.3629036
217	45.32298222
218	45.27519108
219	45.21929736
220	45.17931906
221	45.12607896
222	45.10223916
223	45.06256071
224	45.00475262
225	44.95593113
226	44.92221188
227	44.87368476
228	44.84317983
229	44.77727422
230	44.74796082
231	44.6996265
232	44.67488114
233	44.64604613
234	44.59505573
235	44.56791635
236	44.54458431
237	44.5269414
238	44.49216993
239	44.45250862
240	44.40523823
241	44.38023786
242	44.34156625
243	44.31143111
244	44.28499395
245	44.23806732
246	44.20291282
247	44.16536308
248	44.13359551
249	44.07165319
250	44.0242812
251	43.99126587
252	43.96642995
253	43.94198665
254	43.89687288
255	43.87586724
256	43.82749987
257	43.7896003
258	43.76555549
259	43.70855252
260	43.67436923
261	43.62004708
262	43.59741153
263	43.57065391
264	43.51768462
265	43.46914907
266	43.41630327
267	43.39223273
268	43.35759744
269	43.33039489
270	43.31322307
271	43.26585887
272	43.24003926
273	43.19181496
274	43.16712792
275	43.13446772
276	43.08686766
277	43.05942581
278	43.012212
279	42.98027771
280	42.94322304
281	42.90690903
282	42.8710514
283	42.82637709
284	42.80569293
285	42.76046554
286	42.71833806
287	42.6772879
288	42.65335098
289	42.62336824
290	42.60028676
291	42.56841173
292	42.54390574
293	42.50058969
294	42.47693764
295	42.46042992
296	42.42670307
297	42.40420399
298	42.36583815
299	42.32131956
300	42.28719339
301	42.26842495
302	42.25613755
303	42.22124166
304	42.20431147
305	42.1755411
306	42.15715733
307	42.11985293
308	42.0841952
309	42.05007323
310	42.01493741
311	41.97525063
312	41.94719052
313	41.91559525
314	41.87836809
315	41.85532977
316	41.83598513
317	41.81507089
318	41.78498617
319	41.74469776
320	41.71323684
321	41.67796924
322	41.64220822
323	41.61919067
324	41.57229413
325	41.53259247
326	41.48987299
327	41.46496215
328	41.43880543
329	41.42177893
330	41.35986652
331	41.31714015
332	41.28557615
333	41.26653971
334	41.2302343
335	41.20723684
336	41.1917224
337	41.16092765
338	41.12786824
339	41.11053634
340	41.08859439
341	41.04432954
342	41.02033212
343	41.00175546
344	40.98079155
345	40.95078893
346	40.91573013
347	40.876658
348	40.84170251
349	40.81811192
350	40.77389025
351	40.7490698
352	40.73317843
353	40.71044247
354	40.66223083
355	40.63867143
356	40.61655926
357	40.58724429
358	40.57224938
359	40.55323925
360	40.53550295
361	40.49749418
362	40.47014809
363	40.4426151
364	40.42467733
365	40.41253865
366	40.38876606
367	40.36740374
368	40.33549194
369	40.30765381
370	40.28453477
371	40.26507455
372	40.22949498
373	40.19464183
374	40.17297665
375	40.13496288
376	40.1204437
377	40.07951697
378	40.05865892
379	40.03408603
380	40.00617664
381	39.97963741
382	39.93590791
383	39.91085324
384	39.89278824
385	39.87189325
386	39.85361589
387	39.8210652
388	39.79126764
389	39.76971803
390	39.74664394
391	39.72517276
392	39.70585893
393	39.67296933
394	39.64491648
395	39.62929564
396	39.6116517
397	39.59525681
398	39.56933226
399	39.54086056
400	39.50954962
401	39.4919249
402	39.4720914
403	39.44548332
404	39.40935969
405	39.38308698
406	39.34768915
